Date,coach,block,kwh,percent_used,miles_travelled
4/25/2018,2600,0,1.683092078,105.5,206.3555848
6/13/2018,2600,0,2.116997194,40,20.66680585
7/2/2018,2600,0,2.049231559,9.5,16.77080848
7/3/2018,2600,0,1.983691933,46,84.509589
7/5/2018,2600,0,2.053302386,48.5,83.96899606
7/9/2018,2600,0,2.066940668,33.5,57.47994214
7/11/2018,2600,0,2.236272621,53,84.76124433
7/12/2018,2600,0,2.155545053,130,198.6269086
7/13/2018,2600,0,2.176125124,55.5,91.46023245
7/15/2018,2600,0,1.829481922,49,96.37467192
7/16/2018,2600,0,1.796075238,63.5,112.6048875
7/18/2018,2600,0,2.072934389,126,207.8504811
7/20/2018,2600,0,1.982026086,120.5,206.1718999
7/22/2018,2600,0,1.747179064,17.5,36.4807027
7/23/2018,2600,0,2.189114418,90.5,143.5149974
7/25/2018,2600,0,2.154730579,83.5,124.5929562
7/26/2018,2600,0,2.173772976,82,119.5158235
7/27/2018,2600,0,2.133371608,125.5,205.8426052
7/28/2018,2600,0,1.974523724,99,174.8218146
7/29/2018,2600,0,1.961980934,81.5,152.6771156
7/30/2018,2600,0,2.246335166,136.5,207.9542969
7/31/2018,2600,0,2.084600364,125,195.6359679
8/1/2018,2600,0,2.059990131,138.5,205.9997296
8/3/2018,2600,0,2.024585653,118,204.0736099
8/4/2018,2600,0,1.990912753,94,172.0951893
8/5/2018,2600,0,2.088181351,82,143.6237374
8/6/2018,2600,0,2.001139147,98,166.2882516
8/7/2018,2600,0,2.137743024,127.5,204.4755516
8/8/2018,2600,0,2.11494425,134.5,207.490442
8/9/2018,2600,0,2.013358822,130,216.853636
8/10/2018,2600,0,1.902490729,117,205.4259121
8/11/2018,2600,0,1.940521619,81.5,149.7174893
8/13/2018,2600,0,2.054435236,129,207.0850127
8/14/2018,2600,0,1.688356231,18,38.63409599
8/15/2018,2600,0,2.108227471,127.5,205.6893983
8/16/2018,2600,0,1.987736433,122.5,209.0094636
8/17/2018,2600,0,2.030521077,118,205.2454055
8/18/2018,2600,0,2.112862798,107,171.1752364
8/20/2018,2600,0,1.978685435,115,205.3611383
8/22/2018,2600,0,2.094667107,127,206.4537647
8/23/2018,2600,0,2.078627962,135,210.2133419
8/24/2018,2600,0,1.789083124,117,206.4439736
8/25/2018,2600,0,1.986939032,88,146.9822001
8/26/2018,2600,0,1.895818484,84.5,151.9749662
8/27/2018,2600,0,1.941809455,118,207.9646164
8/29/2018,2600,0,1.979798259,124.5,207.1038518
8/30/2018,2600,0,2.149769662,75.5,114.4619539
8/31/2018,2600,0,1.726047526,49.5,94.49916447
9/5/2018,2600,0,2.010895979,116,205.937168
9/6/2018,2600,0,1.834054708,109,205.3577696
9/7/2018,2600,0,1.968972161,113,208.4203672
9/8/2018,2600,0,1.934321596,89,170.793126
9/9/2018,2600,0,1.873220837,80.5,151.8569057
9/10/2018,2600,0,1.969800463,112.5,206.3463177
9/11/2018,2600,0,1.900978709,108,187.2519435
9/12/2018,2600,0,1.956537477,113.5,207.9362347
9/13/2018,2600,0,2.044889139,92,163.1411637
9/15/2018,2600,0,1.938518802,96,169.6933657
9/16/2018,2600,0,2.052942909,47.5,87.3741102
9/17/2018,2600,0,1.945244596,111.5,205.0037261
9/18/2018,2600,0,1.933761736,96.5,167.8908232
9/19/2018,2600,0,1.94983497,117,206.9301661
9/20/2018,2600,0,1.696482993,36,76.71608636
9/21/2018,2600,0,1.893846785,104,188.1356627
9/23/2018,2600,0,1.820896584,78,153.0157629
9/24/2018,2600,0,1.825148843,108.5,208.0568232
9/25/2018,2600,0,1.88763096,120.5,207.0358858
9/26/2018,2600,0,1.863291171,120.5,207.8325733
9/27/2018,2600,0,1.920965413,113.5,206.7047541
9/28/2018,2600,0,1.74160273,102,206.1470241
9/29/2018,2600,0,1.856979791,93.5,171.550273
9/30/2018,2600,0,1.8896129,81.5,152.2359421
10/1/2018,2600,0,1.957695563,112.5,204.7392238
10/2/2018,2600,0,1.902579929,91,164.1843874
10/3/2018,2600,0,1.843135214,111,206.2969285
10/4/2018,2600,0,1.963832338,120,207.1760346
10/5/2018,2600,0,1.810213142,110,205.9836999
10/11/2018,2600,0,1.424768648,9.5,24.0781337
10/20/2018,2600,0,1.762295786,85,170.3094466
10/21/2018,2600,0,1.764852928,72.5,153.9885886
10/22/2018,2600,0,1.854897433,113.5,206.7020683
10/23/2018,2600,0,1.808019622,119.5,214.6091492
10/24/2018,2600,0,1.860677287,123.5,208.6188361
10/25/2018,2600,0,1.891778272,121,206.4846769
10/26/2018,2600,0,1.837095498,111,204.4699522
10/27/2018,2600,0,1.79023102,91,173.0806988
10/28/2018,2600,0,1.709904408,66.5,143.9033544
10/29/2018,2600,0,1.869648053,113,207.93437
10/30/2018,2600,0,1.791156719,110,208.5436836
10/31/2018,2600,0,1.833572344,115.5,208.5349516
