Date,coach,block,kwh,percent_used,miles_travelled,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,description
4/25/2018,2600,0,1.683092078,105.5,206.3555848,24.6,13,17.8,24.6,13,17.8,9.9,63.1,0,0,0,,0,0,,15.2,250.3,30.3,13.6,275.3,23.8,8,,Clearing in the afternoon.
6/13/2018,2600,0,2.116997194,40,20.66680585,29.7,17.5,22.9,29.3,17.5,22.8,14.5,62.2,0,0,0,,0,0,,16.5,239.6,16,13.8,257.2,22.1,8,,Clear conditions throughout the day.
7/2/2018,2600,0,2.049231559,9.5,16.77080848,28,18.3,22.2,27.7,18.3,22.1,14.3,63.3,0,0,0,,0,0,,15.5,250.1,35.8,15.1,247.3,21.1,8,,Clearing in the afternoon.
7/3/2018,2600,0,1.983691933,46,84.509589,26.7,18.4,21.7,26.8,18.4,21.7,14.1,63.3,0,0,0,,0,0,,16.6,228.1,40.4,15,231.5,20,7,,Clearing in the afternoon.
7/5/2018,2600,0,2.053302386,48.5,83.96899606,34.9,17.6,25.9,33.2,17.6,25.3,12.4,49,0,0,0,,0,0,,15.6,273.9,13.7,12.4,254.4,21.9,8,,Clear conditions throughout the day.
7/9/2018,2600,0,2.066940668,33.5,57.47994214,35.5,23.6,28.3,34.5,23.6,27.9,14.7,45.8,0,0,0,,0,0,,16.7,231,17.2,14.9,180.4,15.6,6,,Clear conditions throughout the day.
7/11/2018,2600,0,2.236272621,53,84.76124433,32.7,21.3,26.3,33.1,21.3,26.2,15.9,55.2,0,0,0,,0,0,,20.9,225.4,7.3,15.7,191.6,16.6,7,,Clear conditions throughout the day.
7/12/2018,2600,0,2.155545053,130,198.6269086,32.1,22.2,26,32.6,22.2,26.2,17,59.3,0,0,0,,0,0,,21.1,224.7,8.7,15.8,227.6,19.9,7,,Clear conditions throughout the day.
7/13/2018,2600,0,2.176125124,55.5,91.46023245,32.5,21.1,25.8,33.1,21.1,26,17,60,0,0,0,,0,0,,20.6,245.5,5.2,15.7,234.9,20.4,7,,Clear conditions throughout the day.
7/15/2018,2600,0,1.829481922,49,96.37467192,30.7,21.1,25.2,31,21.1,25.3,16.8,61.3,0,0,0,,0,0,,16.3,226.4,16.3,15.9,226.6,19.5,7,,Clear conditions throughout the day.
7/16/2018,2600,0,1.796075238,63.5,112.6048875,30.9,20.8,24.8,31.1,20.8,24.9,17.2,64.8,0,0,0,,0,0,,18.3,227,31.2,15.7,230.3,19.9,7,,Partly cloudy throughout the day.
7/18/2018,2600,0,2.072934389,126,207.8504811,30.4,21,24.1,31.5,21,24.3,17.9,69.3,0,0,0,,0,0,,17,239.8,37.8,15.2,166.7,14.6,6,,Partly cloudy throughout the day.
7/20/2018,2600,0,1.982026086,120.5,206.1718999,29.1,20.8,24.6,29.3,20.8,24.7,16.5,62.2,0,0,0,,0,0,,18.8,233.1,11.5,15.6,229,19.8,7,,Clear conditions throughout the day.
7/22/2018,2600,0,1.747179064,17.5,36.4807027,33.8,20.6,26.4,33.2,20.6,26.3,15.5,53.7,0,0,0,,0,0,,18.6,261.1,7.5,15.8,238.3,20.5,7,,Clear conditions throughout the day.
7/23/2018,2600,0,2.189114418,90.5,143.5149974,35.5,21.7,28.1,35.9,21.7,28.2,16.1,50.3,0,0,0,,0,0,,18.8,240.6,4.2,15.8,237.9,20.6,7,,Clear conditions throughout the day.
7/25/2018,2600,0,2.154730579,83.5,124.5929562,34.2,22.8,27.2,35.7,22.8,27.8,18.6,61.2,0,0,0,,0,0,,17.4,235.3,9.8,14.6,231.6,20.1,7,,Clear conditions throughout the day.
7/26/2018,2600,0,2.173772976,82,119.5158235,30.9,21.9,25.9,32.5,21.9,26.3,18.8,66.5,0,0,0,,0,0,,17.9,241.1,31.4,13.4,230.5,19.9,7,,Clearing in the afternoon.
7/27/2018,2600,0,2.133371608,125.5,205.8426052,33.8,21.2,26.3,34.8,21.2,26.7,18.2,64,0,0,0,,0,0,,16.8,236.2,32.3,12.5,228.8,19.8,7,,Clearing in the afternoon.
7/28/2018,2600,0,1.974523724,99,174.8218146,30.3,21.2,24.8,31.2,21.2,25.1,18.1,67.5,0,0,0,,0,0,,19.6,240.4,37.9,14.3,222.8,19.3,7,,Clearing in the afternoon.
7/29/2018,2600,0,1.961980934,81.5,152.6771156,35.4,20.9,26.7,35.1,20.9,26.6,16.5,57,0,0,0,,0,0,,19.6,232.9,13.2,15.4,224.4,19.4,7,,Clear conditions throughout the day.
7/30/2018,2600,0,2.246335166,136.5,207.9542969,33.9,23.2,28,33.4,23.2,27.7,15.6,50,0,0,0,,0,0,,16.4,236.6,10.7,15.8,216.5,18.6,7,,Clear conditions throughout the day.
7/31/2018,2600,0,2.084600364,125,195.6359679,34.3,22.4,27.8,34,22.4,27.6,14.7,46.7,0,0,0,,0,0,,19.4,227.3,7.5,15.8,215,18.5,8,,Clear conditions throughout the day.
8/1/2018,2600,0,2.059990131,138.5,205.9997296,34.6,22.9,28,33.7,22.9,27.7,14.8,46.7,0,0,0,,0,0,27.7,21.3,259,3.1,15.8,220.2,19.3,7,,Clear conditions throughout the day.
8/3/2018,2600,0,2.024585653,118,204.0736099,33,21.8,27.1,32.8,21.8,27,16.2,53.9,0,0,0,,0,0,,17.7,233.9,1.5,15.7,224.9,19.5,7,,Clear conditions throughout the day.
